usdot_number,prefix,docket_number,legal_name,dba_name,city,state
2590153,MC,1396854,2 RIOS MOBILE REPAIR LLC,,BRIGHTON,CO
2971705,MC,846204,2 TM LIMO SERVICE LLC,,AURORA,CO
3864216,MC,1412595,"2.A EXPRESS, LLC",,AURORA,CO
,FF,34880,2020 EXCAVATING LLC,,GYPSUM,CO
3480176,MC,1141899,2020 TRANSPORT LLC,,THORNTON,CO
3427381,MC,1136162,2020 TRUCKING LLC,,DENVER,CO
3168920,MC,116683,21 TRANSPORTATION LLC,,KERSEY,CO
3961106,MC,1477252,24 7 QUALITY SERVICES LLC,,RIFLE,CO
2470481,MC,855560,24 7 RUSH INC.,,LONGMONT,CO
3075613,MC,1332337,24 HOUR DENVER TOWING CORP,,AURORA,CO
3673762,MC,1275315,24 HOUR FREIGHT LLP,,HGHLNDS RANCH,CO
4039227,MC,1528055,247 OPERATIONS INC,,STEAMBOAT SPR,CO
3224957,MC,1010010,247 QUALITY SERVICES TRUCKING LLC,,RIFLE,CO
4033402OOS,MC,1524414,25-8 LLC,,PARKER,CO
1787299,MC,651152,285 MOUNTAIN TOWING INC,,MORRISON,CO
2595925,MC,971090,29 TRUCKING LLC,,GREELEY,CO
3572278,MC,1233524,2D TRUCKING LLC,,WRAY,CO
3879669,MC,1423091,2JA TRUCKING LLC,,WALDEN,CO
2892884,MC,971878,2K TRANSPORTATION LLC,,DENVER,CO
1762599,MC,644246,2K TRANSPORTATION LLC,,GREELEY,CO
3428785,MC,1110332,2KLA LLC,2KLA TRUCKING,COLORADO SPRINGS,CO
,MC,934054,"2L LOGISTICS, INC.",,FLORENCE,CO
2304689,MC,787145,2M TRANSPORT INC,,MACK,CO
3220263,MC,1007666,2M TRUCKING LLC,,LAMAR,CO
2798704,MC,934647,2ND CHANCE TRUCKING LLC,,COMMERCE CITY,CO
3433319,MC,1113038,2ND CHASE LLC,,COLORADO SPGS,CO
3387094OOS,MC,1087997,2TWENTY-TWO LOGISTICS LLC,,AURORA,CO
3602357,MC,1304174,2XL TRANSPORTATION,,GILCREST,CO
3377189,MC,1295709,2XROUND LLC,,ARVADA,CO
,FF,22044,3 16 TRUCKING LLC,,DENVER,CO
645219,MC,314034,3 BARS W LLC,,GREELEY,CO
3470814,MC,1135987,3 BEES TRANSPORTATION LLC,,FREDERICK,CO
3795616,MC,1364176,3 BOYS TRUCKING LLC,,BRIGHTON,CO
3146372,MC,1037437,3 CORNERS OILFIELD SERVICES LLC,,PLATTEVILLE,CO
3991889,MC,1497779,"3 DON-KEEZ DESIGNS, LLC",THREE DON KEEZ TRANSPORT 3 DON KEEZ TRANSPORTATION,COLORADO SPRINGS,CO
2971714,MC,891811,3 FELLAS LLC,COLORADO CORPORATE CAR SERVICE,LAKEWOOD,CO
4102495,MC,1565203,3 HARTS LLC,,EATON,CO
3893152,MC,1431949,3 IN 1 LLC,SUNFLOWER MOVING,CRAIG,CO
3845706,MC,1429294,3 IN 1 TRUCKING LLC,,ALAMOSA,CO
,MC,1061802,3 LOCKBOX LLC,,THORNTON,CO
,FF,17085,3 LOCKBOX LLC,,DENVER,CO
,MC,1360697,3 PEAKS LOGISTICS LLC,,LITTLETON,CO
,FF,26564,3 SONS TRUCKING,,CENTENNIAL,CO
3859142,MC,1409185,3 SPEED TRANSPORTATION LLC,,THORNTON,CO
3981979,MC,1494363,3 VALLES TRUCKING LLC,,DENVER,CO
2214161,MC,209106,"3-D TRANSPORTATION SERVICE, INC.",,COMMERCE CITY,CO
,FF,30412,303 AUTO TRANSPORT LLC,303 AUTO TRANSPORT,ENGLEWOOD,CO
2784624,MC,927811,303 BRONCOS' LIMO LLC,,PARKER,CO
3947056OOS,MC,1468551,303 CARGO TRANSPORT LLC,,AURORA,CO
2403910,MC,828848,303 DENVER LIMOUSINE LLC,,AURORA,CO
2443664,MC,846422,303 EDEN LIMO SERVICE LLC,,AURORA,CO
3284643,MC,1039096,303 HOTSHOT LLC,TRANSPORTATION,ERIE,CO
3526371,MC,1172327,303 LOGISTICS,,AURORA,CO
3151328,MC,105026,303 LOGISTICS LLC,,WESTMINSTER,CO
,MC,873738,303 MOUNTAIN LIMO LLC,,AURORA,CO
,MC,933609,303 PARTY BUS LLC,,DENVER,CO
4145037,MC,1352967,303 TRANSPORT INC,,PARKER,CO
4220657,MC,1631307,303 TRANSPORTATION LLC,,AURORA,CO
3418923,MC,1104644,303 TRANSPORTATIONS LLC,,THORNTON,CO
3321988,MC,1057242,303 TRANSPORTING LLC,,THORNTON,CO
2318325,MC,88206,303LIMOVAN LLC,303 LIMO BUS 303 BREW BUS,LONGMONT,CO
3341120,MC,1066426,303TRANSPORTATION LLC,,JOHNSTOWN,CO
3694441,MC,1290168,303UNIQUE TRUCKING LLC,,THORNTON,CO
3997210,MC,1501300,316 TRANSPORTATION LLC,,GREELEY,CO
3855824,MC,1406942,316 TRANSPORTATION LLC,,DENVER,CO
2794526,MC,1543356,318 TRUCKING LLC,,DENVER,CO
1923642,MC,688134,"357 TRANSPORT, INC.",,WHITEWATER,CO
2921650,MC,985393,35D MAJESTIC MOVERS LLC,MAJESTIC MOUNTAIN MOVERS,SILVERTHORNE,CO
3768450OOS,MC,1344354,360 ENTERPRISE LLC,,COLORADO SPGS,CO
4064733,MC,1542997,360 INSTALLS LLC,,AURORA,CO
4180020,MC,1609191,360 PROSOLUTIONS LLC,,ENGLEWOOD,CO
3021084,MC,34398,"360 RAIL SERVICES, LLC",,80111 GREENWOOD VILLAGE,CO
3350506,MC,1071085,360 TRANSPORT INC,,LOVELAND,CO
4123425,MC,1577503,365 GREENHOUSE,,COLORADO SPGS,CO
,MC,729673,365 TRUCKING LLC,,DEER TRAIL,CO
3699933,MC,1294173,3940 EXPRESS SERVICES LLC,,DENVER,CO
,MC,910504,"3B ENTERPRISES, LLC",,CRAIG,CO
3274262,MC,1034173,3C LOGISTICS LLC,,KERSEY,CO
3274262,MC,1998,3C LOGISTICS LLC,,KERSEY,CO
,FF,32205,3C LOGISTICS LLC,,KERSEY,CO
4157199,MC,1596990,3D DIRTWORKS LLC,,DELTA,CO
1095825OOS,MC,546412,3D SOLUTIONS LLC,,COLORODO SPRINGS,CO
1493518OOS,MC,738590,3D'S MACHINE-N-WELDING INC,,GARDEN CITY,CO
3376703OOS,MC,1083210,3G TRANSPORTATION SERVICES LLC,,GRAND JCT,CO
3325031,MC,1070036,3GT FARMS,,HOLLY,CO
,MC,1601125,3HE LOGISTIC LLC,,DENVER,CO
3533712,MC,1177335,3J TRUCKING LLC,,JOHNSTOWN,CO
3473707OOS,MC,1178112,3P TRUCKING LTD,,PENROSE,CO
,FF,40854,3P TRUCKING LTD,,PENROSE,CO
2239474,MC,607126,"3PL MANAGEMENT, LLC",,CO SPRINGS,CO
